180.68,148.23,62.865,62.865
174.75,148.72,65.573,65.573
171.44,148.2,68.482,68.482
167.6,147.12,69.22,69.22
164.73,146.76,73.239,73.239
159.77,148.71,75.285,75.285
159.65,150.11,74.337,74.337
160.52,150.94,73.83,73.83
159.99,151.27,73.559,73.559
159.27,151.38,74.195,74.195
161.04,151.98,74.259,74.259
156.66,155.17,73.601,73.601
156.11,152.63,73.354,73.354
152.63,153.09,74.254,74.254
149.88,152.28,73.718,73.718
149.46,151.26,73.915,73.915
150.28,151.34,73.821,73.821
152.25,150.52,74.13,74.13
153.22,148.31,73.192,73.192
153.49,148.51,72.502,72.502
154.59,150.61,70.45,70.45
157.62,148.82,68.065,68.065
162.71,147.97,66.82,66.82
167.97,147.98,65.379,65.379
174.23,148.67,65.84,65.84
180.3,148.96,65.939,65.939
184.42,149.99,66.904,66.904
189.51,150.12,65.977,65.977
193.37,150.2,65.863,65.863
194.86,149.91,65.345,65.345
194.8,150.23,65.232,65.232
193.59,150.22,64.843,64.843
194.9,149.69,64.852,64.852
194.44,150.35,65.882,65.882
191.17,149.74,65.629,65.629
189.08,149.52,64.679,64.679
187.64,149.83,65.408,65.408
186.48,150.57,65.901,65.901
184.79,151.24,65.366,65.366
187.09,151.54,64.981,64.981
186.96,152,64.533,64.533
188.05,152.31,65.17,65.17
189.06,152.55,65.843,65.843
190.15,153.05,66.716,66.716
192.45,154.21,67.85,67.85
194.39,154.47,66.935,66.935
195.48,155.39,68.304,68.304
198.09,154.84,67.342,67.342
199.05,154.6,67.611,67.611
200.84,154.23,66.662,66.662
201.84,153.92,65.792,65.792
203.73,154.26,65.401,65.401
204.7,153.88,65.187,65.187
203.6,153.14,64.997,64.997
203.05,153.55,65.921,65.921
201.24,154,67.067,67.067
199.72,154.58,67.76,67.76
196.29,155.11,66.776,66.776
194.5,155.95,68.16,68.16
193.3,157.37,68.104,68.104
190.57,158.3,68.227,68.227
191.5,160.25,68.652,68.652
224.63,163.25,58.645,58.645
227.57,163.76,65.96,65.96
232.73,167.69,68.309,68.309
235.25,167.13,66.169,66.169
234.03,166.69,66.297,66.297
241,175.5,50.692,50.692
222,163,72.294,72.294
220.69,164.37,71.928,71.928
224.04,165.91,70.706,70.706
225.21,167.15,70.136,70.136
224.79,166.5,71.255,71.255
221.83,166.54,72.063,72.063
220.6,169.04,72.45,72.45
221.96,168.76,72.578,72.578
222.54,169.28,73.922,73.922
223.17,172.09,73.717,73.717
217.56,168.54,75.194,75.194
212.76,163.3,77.978,77.978
206.78,163.42,77.917,77.917
201.96,162.55,77.175,77.175
